pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2022-06-24,90.7,2.58,5.95,"Cruz, Oneil",665833,605488,single,hit_into_play,NA,NA,NA,NA,2,Oneil Cruz singles on a sharp line drive to center fielder Brett Phillips.,R,L,L,TB,PIT,X,8,line_drive,2,2,2022,0.87,1.6,0.08,3.65,NA,NA,NA,2,6,Top,123.61,65.17,NA,NA,650907,NA,NA,-8.10919137024019,-131.751923494947,-3.20189352480806,11.9079260454659,29.4518591235908,-13.1109507710396,3.76,1.75,269,110.1,11,90.6,2333,6.4,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.07,0.891,0.927,0.9,1,1,0,5,45,5,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,138,-0.019,0.133
SL,2022-06-24,85.9,2.28,6.21,"Cruz, Oneil",665833,605488,,ball,NA,NA,NA,NA,13,Oneil Cruz singles on a sharp line drive to center fielder Brett Phillips.,R,L,L,TB,PIT,B,NA,,1,2,2022,-0.36,0.79,-1.78,1.36,NA,NA,NA,2,6,Top,NA,NA,NA,NA,650907,NA,NA,-8.90785177931568,-124.741239549606,-6.87111478203242,-2.10654245843245,23.3452414986883,-22.6993113052754,3.74,1.8,NA,NA,NA,86.3,2159,6.5,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,53.98,NA,NA,NA,NA,NA,NA,NA,45,4,Slider,3,3,3,3,3,3,3,3,Standard,Standard,180,0,0.014
SL,2022-06-24,82.8,2.74,6.1,"Cruz, Oneil",665833,605488,,called_strike,NA,NA,NA,NA,6,Oneil Cruz singles on a sharp line drive to center fielder Brett Phillips.,R,L,L,TB,PIT,S,NA,,1,1,2022,-0.33,0.6,0.73,2.83,NA,NA,NA,2,6,Top,NA,NA,NA,NA,650907,NA,NA,-3.9374018772311,-120.575285030714,-2.18281174577557,-2.52554228541724,22.1248214801245,-26.0864555762777,3.78,1.95,NA,NA,NA,82.8,2105,6.1,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.41,NA,NA,NA,NA,NA,NA,NA,45,3,Slider,3,3,3,3,3,3,3,3,Standard,Standard,170,0,-0.023
SL,2022-06-24,86.3,2.43,6.12,"Cruz, Oneil",665833,605488,,ball,NA,NA,NA,NA,13,Oneil Cruz singles on a sharp line drive to center fielder Brett Phillips.,R,L,L,TB,PIT,B,NA,,0,1,2022,-0.36,0.81,-1.11,2.25,NA,NA,NA,2,6,Top,NA,NA,NA,NA,650907,NA,NA,-7.70193128207983,-125.46426138664,-4.67959314752909,-2.41306448718653,23.158791243507,-22.8491957434731,3.93,1.93,NA,NA,NA,86.7,2116,6.4,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.09,NA,NA,NA,NA,NA,NA,NA,45,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,158,0,0.011
SL,2022-06-24,84.4,2.58,6.11,"Cruz, Oneil",665833,605488,,called_strike,NA,NA,NA,NA,2,Oneil Cruz singles on a sharp line drive to center fielder Brett Phillips.,R,L,L,TB,PIT,S,NA,,0,0,2022,-0.57,0.59,-0.08,3.4,NA,NA,NA,2,6,Top,NA,NA,NA,NA,650907,NA,NA,-5.06738329641555,-122.940091656353,-1.17061059110181,-4.86807541612678,22.3702666899027,-26.1829798567349,3.89,1.92,NA,NA,NA,84.7,2113,6.2,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.26,NA,NA,NA,NA,NA,NA,NA,45,1,Slider,3,3,3,3,3,3,3,3,Standard,Standard,180,0,-0.017
SL,2022-06-24,84.3,2.63,6.21,"Cruz, Oneil",665833,605488,single,hit_into_play,NA,NA,NA,NA,13,Oneil Cruz singles on a ground ball to right fielder Josh Lowe.,R,L,L,TB,PIT,X,9,ground_ball,0,1,2022,-0.35,0.66,-1.12,2.55,NA,NA,NA,2,4,Top,181.53,127.56,NA,NA,650907,NA,NA,-8.00308434544772,-122.526041760864,-3.45271962736758,-2.03434988103554,22.7436623792102,-25.071826902050798,3.76,1.75,64,97.2,2,84.2,2066,6.2,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.32,0.454,0.428,0.9,1,1,0,4,28,2,Slider,3,2,2,3,2,3,2,3,Standard,Standard,177,-0.016,0.134
SL,2022-06-24,84.6,2.53,6.2,"Cruz, Oneil",665833,605488,,foul,NA,NA,NA,NA,4,Oneil Cruz singles on a ground ball to right fielder Josh Lowe.,R,L,L,TB,PIT,S,NA,,0,0,2022,-0.57,0.49,-0.41,2.45,NA,NA,NA,2,4,Top,NA,NA,NA,NA,650907,NA,NA,-5.67715492588946,-123.111972234889,-3.34248719257677,-4.65803092445045,25.3721648835066,-26.7137120627871,3.76,1.75,8,56.1,-19,84.3,2163,6.1,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.35,NA,NA,NA,NA,NA,NA,NA,28,1,Slider,3,2,2,3,2,3,2,3,Standard,Standard,188,0,-0.017
FF,2022-06-24,91.6,2.48,6.03,"Cruz, Oneil",665833,605488,strikeout,called_strike,NA,NA,NA,NA,1,Oneil Cruz called out on strikes.,R,L,L,TB,PIT,S,2,,1,2,2022,0.7,1.68,-0.42,3.6,NA,NA,NA,1,2,Top,NA,NA,NA,NA,650907,NA,NA,-8.84522272563918,-133.089315666807,-3.86932358082562,10.2857777113291,30.4760709544613,-11.6048288104076,3.97,1.93,NA,NA,NA,91.6,2310,6.5,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,53.96,NA,NA,0,1,0,0,NA,9,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,140,0.017,-0.112
SL,2022-06-24,85.5,2.43,6.2,"Cruz, Oneil",665833,605488,,swinging_strike,NA,NA,NA,NA,13,Oneil Cruz called out on strikes.,R,L,L,TB,PIT,S,NA,,1,1,2022,-0.46,0.36,-1.47,1.99,NA,NA,NA,1,2,Top,NA,NA,NA,NA,650907,NA,NA,-8.24755432830854,-124.261911191378,-4.36883049101613,-3.221040878142,23.7025986902009,-27.7229923534199,3.76,1.75,NA,NA,NA,85.5,2194,6.3,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.25,NA,NA,NA,NA,NA,NA,NA,9,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,180,0,-0.036
SL,2022-06-24,85.8,2.39,6.19,"Cruz, Oneil",665833,605488,,swinging_strike,NA,NA,NA,NA,13,Oneil Cruz called out on strikes.,R,L,L,TB,PIT,S,NA,,1,0,2022,-0.58,0.27,-0.76,1.22,NA,NA,NA,1,2,Top,NA,NA,NA,NA,650907,NA,NA,-6.25277963968544,-124.86220961006,-6.04829864417616,-4.89908472912346,24.1583642453751,-28.3466662800445,3.76,1.75,NA,NA,NA,85.7,2211,6.1,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,54.38,NA,NA,NA,NA,NA,NA,NA,9,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,182,0,-0.031
FF,2022-06-24,91.9,2.35,6.02,"Cruz, Oneil",665833,605488,,ball,NA,NA,NA,NA,13,Oneil Cruz called out on strikes.,R,L,L,TB,PIT,B,NA,,0,0,2022,0.65,1.54,-1.09,2.05,NA,NA,NA,1,2,Top,NA,NA,NA,NA,650907,NA,NA,-10.1432558716538,-133.337036315893,-7.53023574959641,9.97479757574185,29.55308893428,-12.2983678895303,3.87,1.84,NA,NA,NA,92,2209,6.6,661888,605488,650907,596847,666018,650490,670764,670042,621433,666139,53.9,NA,NA,NA,NA,NA,NA,NA,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,141,0,0.023
